YEAR,Title,Code,Count,filename_updated,DocTitle,Author,OrgType,NumSign,AuthSignType,DocSignAction,Demographic,YearOrder,details
1970,Student Body Referendum 1970.doc,Abolition/ Defunding,4,Student-Body-Referendum-1970.pdf,Student Body Referendum,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students,1,"7175 Students Voted to strike for, endorse but not strike, or oppose  motions"
1970,Student Body Referendum 1970.doc,Adding Courses,0,Student-Body-Referendum-1970.pdf,Student Body Referendum,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students,1,"7175 Students Voted to strike for, endorse but not strike, or oppose  motions"
1970,Student Body Referendum 1970.doc,Community Labor or Partnership,0,Student-Body-Referendum-1970.pdf,Student Body Referendum,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students,1,"7175 Students Voted to strike for, endorse but not strike, or oppose  motions"
1970,Student Body Referendum 1970.doc,Current Iniatives and Working Groups,0,Student-Body-Referendum-1970.pdf,Student Body Referendum,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students,1,"7175 Students Voted to strike for, endorse but not strike, or oppose  motions"
1970,Student Body Referendum 1970.doc,Data Collection and Transparency,0,Student-Body-Referendum-1970.pdf,Student Body Referendum,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students,1,"7175 Students Voted to strike for, endorse but not strike, or oppose  motions"
1970,Student Body Referendum 1970.doc,Diversity in Student Leadership,0,Student-Body-Referendum-1970.pdf,Student Body Referendum,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students,1,"7175 Students Voted to strike for, endorse but not strike, or oppose  motions"
1970,Student Body Referendum 1970.doc,Financial Aid and Financing,0,Student-Body-Referendum-1970.pdf,Student Body Referendum,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students,1,"7175 Students Voted to strike for, endorse but not strike, or oppose  motions"
1970,Student Body Referendum 1970.doc,Inclusive Anti Racist Curriculum Programs,0,Student-Body-Referendum-1970.pdf,Student Body Referendum,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students,1,"7175 Students Voted to strike for, endorse but not strike, or oppose  motions"
1970,Student Body Referendum 1970.doc,Living Wage,1,Student-Body-Referendum-1970.pdf,Student Body Referendum,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students,1,"7175 Students Voted to strike for, endorse but not strike, or oppose  motions"
1970,Student Body Referendum 1970.doc,Minority Faculty / Staff Recruitment,0,Student-Body-Referendum-1970.pdf,Student Body Referendum,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students,1,"7175 Students Voted to strike for, endorse but not strike, or oppose  motions"
1970,Student Body Referendum 1970.doc,Minority Faculty Retention,0,Student-Body-Referendum-1970.pdf,Student Body Referendum,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students,1,"7175 Students Voted to strike for, endorse but not strike, or oppose  motions"
1970,Student Body Referendum 1970.doc,Minority Faculty Staff and Leadership Recruitment,0,Student-Body-Referendum-1970.pdf,Student Body Referendum,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students,1,"7175 Students Voted to strike for, endorse but not strike, or oppose  motions"
1970,Student Body Referendum 1970.doc,Minority Student Recruitment,1,Student-Body-Referendum-1970.pdf,Student Body Referendum,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students,1,"7175 Students Voted to strike for, endorse but not strike, or oppose  motions"
1970,Student Body Referendum 1970.doc,Reparations,0,Student-Body-Referendum-1970.pdf,Student Body Referendum,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students,1,"7175 Students Voted to strike for, endorse but not strike, or oppose  motions"
1970,Student Body Referendum 1970.doc,Research or Coursework,0,Student-Body-Referendum-1970.pdf,Student Body Referendum,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students,1,"7175 Students Voted to strike for, endorse but not strike, or oppose  motions"
1970,Student Body Referendum 1970.doc,School Climate,5,Student-Body-Referendum-1970.pdf,Student Body Referendum,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students,1,"7175 Students Voted to strike for, endorse but not strike, or oppose  motions"
1970,Student Body Referendum 1970.doc,Spaces and Places,0,Student-Body-Referendum-1970.pdf,Student Body Referendum,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students,1,"7175 Students Voted to strike for, endorse but not strike, or oppose  motions"
1987,1987 an-audacious-faith.pdf,Abolition/ Defunding,0,1987 an-audacious-faith.pdf,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors
1987,1987 an-audacious-faith.pdf,Adding Courses,5,1987 an-audacious-faith.pdf,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors
1987,1987 an-audacious-faith.pdf,Community Labor or Partnership,1,1987 an-audacious-faith.pdf,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors
1987,1987 an-audacious-faith.pdf,Current Iniatives and Working Groups,12,1987 an-audacious-faith.pdf,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors
1987,1987 an-audacious-faith.pdf,Data Collection and Transparency,6,1987 an-audacious-faith.pdf,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors
1987,1987 an-audacious-faith.pdf,Diversity in Student Leadership,5,1987 an-audacious-faith.pdf,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors
1987,1987 an-audacious-faith.pdf,Financial Aid and Financing,10,1987 an-audacious-faith.pdf,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors
1987,1987 an-audacious-faith.pdf,Inclusive Anti Racist Curriculum Programs,2,1987 an-audacious-faith.pdf,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors
1987,1987 an-audacious-faith.pdf,Living Wage,0,1987 an-audacious-faith.pdf,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors
1987,1987 an-audacious-faith.pdf,Minority Faculty / Staff Recruitment,0,1987 an-audacious-faith.pdf,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors
1987,1987 an-audacious-faith.pdf,Minority Faculty Retention,3,1987 an-audacious-faith.pdf,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors
1987,1987 an-audacious-faith.pdf,Minority Faculty Staff and Leadership Recruitment,12,1987 an-audacious-faith.pdf,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors
1987,1987 an-audacious-faith.pdf,Minority Student Recruitment,14,1987 an-audacious-faith.pdf,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors
1987,1987 an-audacious-faith.pdf,Reparations,0,1987 an-audacious-faith.pdf,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors
1987,1987 an-audacious-faith.pdf,Research or Coursework,2,1987 an-audacious-faith.pdf,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors
1987,1987 an-audacious-faith.pdf,School Climate,26,1987 an-audacious-faith.pdf,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors
1987,1987 an-audacious-faith.pdf,Spaces and Places,0,1987 an-audacious-faith.pdf,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors
1996,Muddy Floor Report 1996.doc,Abolition/ Defunding,0,Muddy Floor Report 1996.pdf,Muddy Floor Report,Office of Equal Opportunity,Faculty Group,,,Study completed in response to numerous complaints of discrimination in the workplace,University Office,1,Study completed in response to numerous complaints of discrimination in the workplace
1996,Muddy Floor Report 1996.doc,Adding Courses,0,Muddy Floor Report 1996.pdf,Muddy Floor Report,Office of Equal Opportunity,Faculty Group,,,Study completed in response to numerous complaints of discrimination in the workplace,University Office,1,Study completed in response to numerous complaints of discrimination in the workplace
1996,Muddy Floor Report 1996.doc,Community Labor or Partnership,0,Muddy Floor Report 1996.pdf,Muddy Floor Report,Office of Equal Opportunity,Faculty Group,,,Study completed in response to numerous complaints of discrimination in the workplace,University Office,1,Study completed in response to numerous complaints of discrimination in the workplace
1996,Muddy Floor Report 1996.doc,Current Iniatives and Working Groups,0,Muddy Floor Report 1996.pdf,Muddy Floor Report,Office of Equal Opportunity,Faculty Group,,,Study completed in response to numerous complaints of discrimination in the workplace,University Office,1,Study completed in response to numerous complaints of discrimination in the workplace
1996,Muddy Floor Report 1996.doc,Data Collection and Transparency,3,Muddy Floor Report 1996.pdf,Muddy Floor Report,Office of Equal Opportunity,Faculty Group,,,Study completed in response to numerous complaints of discrimination in the workplace,University Office,1,Study completed in response to numerous complaints of discrimination in the workplace
1996,Muddy Floor Report 1996.doc,Diversity in Student Leadership,0,Muddy Floor Report 1996.pdf,Muddy Floor Report,Office of Equal Opportunity,Faculty Group,,,Study completed in response to numerous complaints of discrimination in the workplace,University Office,1,Study completed in response to numerous complaints of discrimination in the workplace
1996,Muddy Floor Report 1996.doc,Financial Aid and Financing,0,Muddy Floor Report 1996.pdf,Muddy Floor Report,Office of Equal Opportunity,Faculty Group,,,Study completed in response to numerous complaints of discrimination in the workplace,University Office,1,Study completed in response to numerous complaints of discrimination in the workplace
1996,Muddy Floor Report 1996.doc,Inclusive Anti Racist Curriculum Programs,0,Muddy Floor Report 1996.pdf,Muddy Floor Report,Office of Equal Opportunity,Faculty Group,,,Study completed in response to numerous complaints of discrimination in the workplace,University Office,1,Study completed in response to numerous complaints of discrimination in the workplace
1996,Muddy Floor Report 1996.doc,Living Wage,0,Muddy Floor Report 1996.pdf,Muddy Floor Report,Office of Equal Opportunity,Faculty Group,,,Study completed in response to numerous complaints of discrimination in the workplace,University Office,1,Study completed in response to numerous complaints of discrimination in the workplace
1996,Muddy Floor Report 1996.doc,Minority Faculty / Staff Recruitment,3,Muddy Floor Report 1996.pdf,Muddy Floor Report,Office of Equal Opportunity,Faculty Group,,,Study completed in response to numerous complaints of discrimination in the workplace,University Office,1,Study completed in response to numerous complaints of discrimination in the workplace
1996,Muddy Floor Report 1996.doc,Minority Faculty Retention,0,Muddy Floor Report 1996.pdf,Muddy Floor Report,Office of Equal Opportunity,Faculty Group,,,Study completed in response to numerous complaints of discrimination in the workplace,University Office,1,Study completed in response to numerous complaints of discrimination in the workplace
