Demographic,Count,Percent,Code,Order
Faculty/Staff,22,4,Total,1
Faculty/Staff,1,10,Abolition/ Defunding,1
Faculty/Staff,0,0,Adding Courses,1
Faculty/Staff,2,8,Community Labor or Partnership,1
Faculty/Staff,2,4.2,Current Iniatives and Working Groups,1
Faculty/Staff,0,0,Data Collection and Transparency,1
Faculty/Staff,0,0,Diversity in Student Leadership,1
Faculty/Staff,0,0,Financial Aid and Financing,1
Faculty/Staff,2,7.4,Inclusive Anti Racist Curriculum Programs,1
Faculty/Staff,0,0,Living Wage,1
Faculty/Staff,0,0,Minority Faculty / Staff Recruitment,1
Faculty/Staff,0,0,Minority Faculty Retention,1
Faculty/Staff,2,3.4,Minority Faculty Staff and Leadership Recruitment,1
Faculty/Staff,2,3.6,Minority Student Recruitment,1
Faculty/Staff,0,0,Reparations,1
Faculty/Staff,2,22.2,Research or Coursework,1
Faculty/Staff,3,2.8,School Climate,1
Faculty/Staff,6,16.7,Spaces and Places,1
University Office,308,55.6,Total,2
University Office,0,0,Abolition/ Defunding,2
University Office,19,50,Adding Courses,2
University Office,9,36,Community Labor or Partnership,2
University Office,19,39.6,Current Iniatives and Working Groups,2
University Office,25,80.6,Data Collection and Transparency,2
University Office,7,41.2,Diversity in Student Leadership,2
University Office,30,63.8,Financial Aid and Financing,2
University Office,10,37,Inclusive Anti Racist Curriculum Programs,2
University Office,1,14.3,Living Wage,2
University Office,6,100,Minority Faculty / Staff Recruitment,2
University Office,23,82.1,Minority Faculty Retention,2
University Office,34,58.6,Minority Faculty Staff and Leadership Recruitment,2
University Office,28,50,Minority Student Recruitment,2
University Office,1,50,Reparations,2
University Office,3,33.3,Research or Coursework,2
University Office,74,67.9,School Climate,2
University Office,19,52.8,Spaces and Places,2
Black Students,135,24.4,Total,3
Black Students,2,20,Abolition/ Defunding,3
Black Students,11,28.9,Adding Courses,3
Black Students,14,56,Community Labor or Partnership,3
Black Students,22,45.8,Current Iniatives and Working Groups,3
Black Students,5,16.1,Data Collection and Transparency,3
Black Students,3,17.6,Diversity in Student Leadership,3
Black Students,9,19.1,Financial Aid and Financing,3
Black Students,9,33.3,Inclusive Anti Racist Curriculum Programs,3
Black Students,3,42.9,Living Wage,3
Black Students,0,0,Minority Faculty / Staff Recruitment,3
Black Students,5,17.9,Minority Faculty Retention,3
Black Students,14,24.1,Minority Faculty Staff and Leadership Recruitment,3
Black Students,18,32.1,Minority Student Recruitment,3
Black Students,0,0,Reparations,3
Black Students,2,22.2,Research or Coursework,3
Black Students,14,12.8,School Climate,3
Black Students,4,11.1,Spaces and Places,3
APIDA Students,7,1.3,Total,4
APIDA Students,0,0,Abolition/ Defunding,4
APIDA Students,2,5.3,Adding Courses,4
APIDA Students,0,0,Community Labor or Partnership,4
APIDA Students,0,0,Current Iniatives and Working Groups,4
APIDA Students,0,0,Data Collection and Transparency,4
APIDA Students,3,17.6,Diversity in Student Leadership,4
APIDA Students,0,0,Financial Aid and Financing,4
APIDA Students,0,0,Inclusive Anti Racist Curriculum Programs,4
APIDA Students,0,0,Living Wage,4
APIDA Students,0,0,Minority Faculty / Staff Recruitment,4
APIDA Students,0,0,Minority Faculty Retention,4
APIDA Students,1,1.7,Minority Faculty Staff and Leadership Recruitment,4
APIDA Students,0,0,Minority Student Recruitment,4
APIDA Students,0,0,Reparations,4
APIDA Students,0,0,Research or Coursework,4
APIDA Students,0,0,School Climate,4
APIDA Students,1,2.8,Spaces and Places,4
Latinx Students,31,5.6,Total,5
Latinx Students,0,0,Abolition/ Defunding,5
Latinx Students,3,7.9,Adding Courses,5
Latinx Students,0,0,Community Labor or Partnership,5
Latinx Students,3,6.2,Current Iniatives and Working Groups,5
Latinx Students,1,3.2,Data Collection and Transparency,5
Latinx Students,3,17.6,Diversity in Student Leadership,5
Latinx Students,6,12.8,Financial Aid and Financing,5
Latinx Students,1,3.7,Inclusive Anti Racist Curriculum Programs,5
Latinx Students,0,0,Living Wage,5
Latinx Students,0,0,Minority Faculty / Staff Recruitment,5
Latinx Students,0,0,Minority Faculty Retention,5
Latinx Students,3,5.2,Minority Faculty Staff and Leadership Recruitment,5
Latinx Students,3,5.4,Minority Student Recruitment,5
Latinx Students,0,0,Reparations,5
Latinx Students,0,0,Research or Coursework,5
Latinx Students,7,6.4,School Climate,5
Latinx Students,1,2.8,Spaces and Places,5
Students,41,7.4,Total,6
Students,7,70,Abolition/ Defunding,6
Students,1,2.6,Adding Courses,6
Students,0,0,Community Labor or Partnership,6
Students,0,0,Current Iniatives and Working Groups,6
Students,0,0,Data Collection and Transparency,6
Students,1,5.9,Diversity in Student Leadership,6
Students,1,2.1,Financial Aid and Financing,6
Students,4,14.8,Inclusive Anti Racist Curriculum Programs,6
Students,3,42.9,Living Wage,6
Students,0,0,Minority Faculty / Staff Recruitment,6
Students,0,0,Minority Faculty Retention,6
Students,3,5.2,Minority Faculty Staff and Leadership Recruitment,6
Students,4,7.1,Minority Student Recruitment,6
Students,1,50,Reparations,6
Students,2,22.2,Research or Coursework,6
Students,9,8.3,School Climate,6
Students,5,13.9,Spaces and Places,6
Alumni,10,1.8,Total,7
Alumni,0,0,Abolition/ Defunding,7
Alumni,2,5.3,Adding Courses,7
Alumni,0,0,Community Labor or Partnership,7
Alumni,2,4.2,Current Iniatives and Working Groups,7
Alumni,0,0,Data Collection and Transparency,7
Alumni,0,0,Diversity in Student Leadership,7
Alumni,1,2.1,Financial Aid and Financing,7
Alumni,1,3.7,Inclusive Anti Racist Curriculum Programs,7
Alumni,0,0,Living Wage,7
Alumni,0,0,Minority Faculty / Staff Recruitment,7
Alumni,0,0,Minority Faculty Retention,7
Alumni,1,1.7,Minority Faculty Staff and Leadership Recruitment,7
Alumni,1,1.8,Minority Student Recruitment,7
Alumni,0,0,Reparations,7
Alumni,0,0,Research or Coursework,7
Alumni,2,1.8,School Climate,7
Alumni,0,0,Spaces and Places,7
