demand_id,Title,Place,Text,Year,YEAR,DemandNum,PageNum,filename_updated,DocTitle,Author,OrgType,NumSign,AuthSignType,DocSignAction,Demographic,YearOrder,details,CodeList
532,Student Body Referendum 1970.doc,Page 1: 4-131,We demand that President Shannon express public support for the right of University employees to strike and bargain collectively.,1970,1970,1,0,Student-Body-Referendum-1970.pdf,STUDENT BODY REFERENDUM,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students,1,"7175 Students Voted to strike for, endorse but not strike, or oppose  motions",#Living Wage #Statements From University Leadership
533,Student Body Referendum 1970.doc,Page 1: 499-873,"we feel that our First Amendment rights to protest government policy are threatened by the injunction sought by- the University and filed by the Honorable Lyttleton Waddell, Judge of the Circuit Court, on May 5, 1970. In order to protect these First Amendment rights and to. guarentee University autonomy, we demand the University, as complainant, to revoke said injunction.",1970,1970,2,0,Student-Body-Referendum-1970.pdf,STUDENT BODY REFERENDUM,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students,1,"7175 Students Voted to strike for, endorse but not strike, or oppose  motions",#Reducing Administrative Barriers #School Climate
534,Student Body Referendum 1970.doc,Page 1: 1010-1283,"we demand that University President, Edgar Shannon, prohibit University police from carrying firearms, and the University not allow any outside law enforcement officers on its property- FBI, CIA, National Guard, Va. State Police, Charlottesville-Albemarle County Police, etc.",1970,1970,3,0,Student-Body-Referendum-1970.pdf,STUDENT BODY REFERENDUM,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students,1,"7175 Students Voted to strike for, endorse but not strike, or oppose  motions",#Abolition/ Defunding
535,Student Body Referendum 1970.doc,Page 1: 1299-1504,"We demand that President Shannon convene a general meeting of the entire University faculty in order to commence proceedings to remove completely the presence of ROTC- Navy, Army, Air Force- From the Grounds.",1970,1970,4,0,Student-Body-Referendum-1970.pdf,STUDENT BODY REFERENDUM,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students,1,"7175 Students Voted to strike for, endorse but not strike, or oppose  motions",#Abolition/ Defunding
536,Student Body Referendum 1970.doc,Page 1: 1515-1671,We demand that President Shannon immediately initiate action to sever any contractual obligations presently maintained with the Judge Advocate General Corps.,1970,1970,5,0,Student-Body-Referendum-1970.pdf,STUDENT BODY REFERENDUM,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students,1,"7175 Students Voted to strike for, endorse but not strike, or oppose  motions",#Abolition/ Defunding
537,Student Body Referendum 1970.doc,Page 1: 1686-1850,"We demand that the University terminate all research sponsored by, or related to the Department of Defense, and that no classified research be countenanced any longer.",1970,1970,6,0,Student-Body-Referendum-1970.pdf,STUDENT BODY REFERENDUM,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students,1,"7175 Students Voted to strike for, endorse but not strike, or oppose  motions",#Abolition/ Defunding #School Climate
538,Student Body Referendum 1970.doc,Page 1: 1863-2024,"We demand that President Shannon sign President Hester's statement of 5 May, 1970, and communicate this approval to President Nixon at the earliest possible time.",1970,1970,7,0,Student-Body-Referendum-1970.pdf,STUDENT BODY REFERENDUM,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students,1,"7175 Students Voted to strike for, endorse but not strike, or oppose  motions",#Statements From University Leadership
539,Student Body Referendum 1970.doc,Page 1: 2032-2259,"We demand that the University of Virginia publicly commit itself to accepting 20 % as a goal for the en­rollment of black students throughout the University, and further, that $100,000.00 be allocated for black admissions programs",1970,1970,8,0,Student-Body-Referendum-1970.pdf,STUDENT BODY REFERENDUM,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students,1,"7175 Students Voted to strike for, endorse but not strike, or oppose  motions",#Black Students #Statements From University Leadership
53,1987 an-audacious-faith.pdf,Page 1: 0-1121,"...expected black students and faculty to accommodate themselves to the existing majority culture while the majority failed to appreciate and promote the important contributions made by minority cultures. We must move forward from the days when this University assumed that those black students and faculty who were admitted to the institution were not quite qualified to be here and were somehow taking the IIrightful ll places of more meritorious whites. We must move forward from a presumption that the cause of the academic inequality of black students at this institution stems totally from shortcomings within those students rather than from shortcomings within the institution itself. We must move forward from the belief that all the benefits of the relationship between itself and blacks flow in one direction. We must come to realize that the University of Virginia is a far superior and richer institution in every way because of the presenteof black students, faculty, and staff; without such an active presence the University becomes and the education it offers sadly lacking.",1987,1987,1,0,1987 an-audacious-faith.pdf,AN AUDACIOUS FAITH,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors,#Minority Faculty Retention #Minority Student Recruitment
54,1987 an-audacious-faith.pdf,Page 1: 0-262,"...average salary of approximately $40,000, be made available for permanent allocation from a central pool for the 1988-89 academic year. An additional five such permanent faculty positions should be made available annually in each of the four following years.",1987,1987,2,0,1987 an-audacious-faith.pdf,AN AUDACIOUS FAITH,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors,#Minority Faculty Staff And Leadership Recruitment
55,1987 an-audacious-faith.pdf,Page 1: 0-452,"...cultural and issues of relevance to black students; (5) participation, in conjunction with the UVA Alumni Association, in the development and maintenance of a black alumni group; (6) participation in the development and maintenance of a black parents organization; (7) participation in the development of University attempts to foster closer relationships with the public school systems and with the black community of Charlottesville-Albemarle.",1987,1987,3,0,1987 an-audacious-faith.pdf,AN AUDACIOUS FAITH,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors,#Office Of African American Affairs
56,1987 an-audacious-faith.pdf,Page 1: 4-1114,"RECRUITMENT AND RETENTION OF BLACK FACULTY STATEMENT OF NEED: Overwhelming agreement exists in the University community that the pivotal element in bringing about genuine and lasting integration must be the successful recruitment and retention of black faculty members. The attraction of a ""critical mass"" of black faculty members--that is recruitment in sufficient numbers in all academic areas and on all levels to establish as a permanent integral feature of University life--will provide several major beneflts. First, it will expose all students to diverse perspectives in the classroom and provide a broadened educational experience. Second, it will signal the development of a more heterogeneous welcoming atmosphere at the Unersity that will in turn help attract and retain a more diverse student body at the undergraduate, graduate, and professional school levels, as well as a more diverse support staff. Finally, it will contribute a broad, vital social and cultural context that will enrich the lives of all members of the University community",1987,1987,4,0,1987 an-audacious-faith.pdf,AN AUDACIOUS FAITH,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors,#Minority Faculty Retention #Minority Faculty Staff And Leadership Recruitment
57,1987 an-audacious-faith.pdf,Page 1: 4-370,"There is a moral case for making a special effort to attract black faculty. The University was for a long time a participant in racial discrimination. Since blacks were excluded from the University of Virginia for so long, the University has an obligation that goes beyond being color-blind. It has rather an affirmative duty to repair the lingering effects of past discrimination and to assure that blacks are a part of the community as teachers as well as students.",1987,1987,5,0,1987 an-audacious-faith.pdf,AN AUDACIOUS FAITH,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors,#Minority Faculty Staff And Leadership Recruitment
58,1987 an-audacious-faith.pdf,Page 1: 21-1921,"ESTABLISHMENT OF A MONITORING MECHANISM TO ENSURE ACTION There seems no reason why from a constitutional point of view the desire to make the campus a more, representative and realistc environment may not stand equal to the goals of overcoming past discrimination or increasing minority participation in the mainstream of American life. In fact closely and logically related; the future of opportunities for minorities depends in large part upon the sensitivity and the values of whites who will continue to make up the majority of our society for the foreseeable future. Thus in some respects the desire to improve the educational experience for the present generation of white-Anglo students may really be the most substantial of all. Robert M: O'Neil Discriminating Against Discrimination (1975) . As discussed in previous sections of this report, over the years the University of has received numerous cogently argued reports prepared by well-intentioned, duly invested committees that have recommended greater University efforts to welcome black stUdents and faculty and to promote integration. After studying the record, the Task Force on Afro-Ameri can Affairs must sadly conclude that, despite the good will of many individuals, all too often the University's response to these recommendations has been hesitant, ineffective, and, at times, unconvincing. We believe that it is fair to characterize the University's posture over the last two decades toward promoting genuine integration--as opposed to legally mandated desegregation--as passive rather than active. One of the primary reasons that the results have been as they are is the fact that the University has neglected to establish an authoritative, ongoing mechanism to oversee integration efforts and to hold those responsible for progress accountable.",1987,1987,6,0,1987 an-audacious-faith.pdf,AN AUDACIOUS FAITH,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors,#Data Collection And Transparency
59,1987 an-audacious-faith.pdf,Page 1: 22-281,ENHANCEMENT OF EFFORTS TO RECRUIT BLACK FACULTY MEMBERS' Objective: To increase the number of black faculty candidates interested in the University of Virginia by all departments and schools undertaking more aggressive and innovative recruitment efforts,1987,1987,7,0,1987 an-audacious-faith.pdf,AN AUDACIOUS FAITH,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors,#Minority Faculty Staff And Leadership Recruitment
60,1987 an-audacious-faith.pdf,Page 1: 22-328,PROVISION OF INCENTIVES TO ACADEMIC UNITS TO PROMOTE THE HIRING OF BLACK FACULTY Objective: To increase the number of black instructional faculty in all schools and departments by maintaining a University pool of faculty positions to be allocated to academic units that successfully recruit black scholars.,1987,1987,8,0,1987 an-audacious-faith.pdf,AN AUDACIOUS FAITH,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors,#Minority Faculty Staff And Leadership Recruitment
61,1987 an-audacious-faith.pdf,Page 1: 23-264,IMPROVEMENT OF ACADEMIC ADVISING AND DEVELOPMENT OF A MENTORING PROGRAM Objective: To increase the academic success rate of black students by provding closer faculty attention to the critical areas of academic advising and mentoring.,1987,1987,9,0,1987 an-audacious-faith.pdf,AN AUDACIOUS FAITH,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors,#Mentorship + Assistance + Training
62,1987 an-audacious-faith.pdf,Page 1: 23-1473,"COORDINATION AND EVALUATION OF TUTORIAL PROGRAMS Objective: To centralize the management oversight and coordination responsibilities for tutoring  programs under the Provost Strategic Rationale/Program Description: A large number of students throughout the University, including (but by no means limited to) those in the Transition Program. desire tutorial assistance from time to time. Tutorial services of one sort or another are presently provided by various Schools and departments, by student honor societies and service groups, and by the Office of Afro-American Affairs and the Athletic Department. Still ether offices, such as the Counseling Center, offer important sess ions on academic skills development. These services, many of which have been developed on an ad hoc basis, have never been fully and continually inventoried, nor are they coordinated by a single, well-identified administrative unit. As a result, many students, faculty, and administrators are not well informed about the tutorial programs that now exist. Moreover, no formally sanctioned mechanism exists to evaluate the nature and quality of these dispersed programs, to assess particular students' needs, or to identify gaps and duplications in services. It is fair to say that tutorial programs--an essential and valuable resource fora significant portion of the student body--have been relatively unmanaged from an institutional perspective.",1987,1987,10,0,1987 an-audacious-faith.pdf,AN AUDACIOUS FAITH,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors,#Mentorship + Assistance + Training #Minority Student Recruitment
63,1987 an-audacious-faith.pdf,Page 1: 24-1589,"COORDINATION AND ENHANCEMENT OF THE DIAGNOSIS AND REMEDIATION OF LEARNING DISABILITIES Objective:  To improve the University's ability to diagnose students' learning disabilities, and to coordinate efforts to overcome them more closely with the academic units. Strategic Rationale/Program Descriptlon: The major function of the Learning Needs and Evaluation Center, which operates under the purview of the Vice President for Student Affairs, is to test students of all races who may have handicapping conditions or special learning needs and to make recommendations to the faculty as to what adjustments might be necessary to accommodate these Conditions and needs. Clearly the function should be regarded as an important element in the University's academic support program, and one that relates closely to the other academic support services that should fall under the supervision of the Provost (e.g., Transition Program, tutorial system). The Committee on Student Development Services in 1986 recommended the following: All special education programs. particularly the Learning Needs and Evaluation Center, should be better categorized, coordinated, communicated, and advertised. Each group of programs with similar academic purposes. such as remedial instruction. instruction for the handicapped or tutorial supplements to curricular programs. should be placed under the vice president for academic affairs (i.e., the Provost) who should postulate a University program which is well understood and taken advantage of by school constituencies.",1987,1987,11,1,1987 an-audacious-faith.pdf,AN AUDACIOUS FAITH,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors,#Mentorship + Assistance + Training
64,1987 an-audacious-faith.pdf,Page 1: 24-369,ENHANCEMENT OF THE RELATIONSHIP BETWEEN THE UNIVERSITYANO THE BLACK COMMUNIiY OF CHARLOTTESVILLE-ALBEMARLE Objective: TO reduce the distance between the black communicty of Charlottesville-Albemarle and the University to sponsor events beyond the means of either body separately and to share the expertise of the University with the community.,1987,1987,12,1,1987 an-audacious-faith.pdf,AN AUDACIOUS FAITH,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors,#Community Labor Or Partnership
65,1987 an-audacious-faith.pdf,Page 1: 24-296,CREATION OF THE OFFICE OF ASSOCIATE PROVOST FOR STUDENT ACADEMIC SERVICES Objective: To provide the administrative mechanism necessary to ensure effective planning. delivery. and coordination of academic-support services to all students. regardless of race. who need them.,1987,1987,13,1,1987 an-audacious-faith.pdf,AN AUDACIOUS FAITH,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors,#Adding Courses #School Climate
66,1987 an-audacious-faith.pdf,Page 1: 24-298,"CREATION OF THE OFFICE OF ASSOCIATE PROVOST FOR ACADEMIC SERVICES Objective: To provide the administrative mechanism necessary to ensure effective planning. delivery. and coordination of academic-support services to all students, regardless of race, who need them.",1987,1987,14,1,1987 an-audacious-faith.pdf,AN AUDACIOUS FAITH,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors,#Adding Courses #School Climate
67,1987 an-audacious-faith.pdf,Page 1: 27-1238,"The development of individual school plans for recruitment and retention of black graduate students, the effort on the part of the University's science departments to seek. outside fellowship funding, and the UniVersity's leadership role in a campaign to win increased state support for black. graduate students will doubt essentail a reorientation of some priorities, but should not require incremental resources. The provision by the University of graduate fellowships for black students will necessitate a considerable financial commitment. The Task Force recommends expansion of the proposed Student Council-initiated matching program to encompass a total of 25 awards, which will require a total of $187,500 in University support and $187,500 in endowment.... generated income annually once the program is fully operational. Certainly, a substantial period of time will be needed to build sufficient endowment (a mininum of $2.5 million) to fund a program of this dimension fully. In the meantime, the UniVersity should make available a minimum of two and a half new $15,000 fellowships for black graduate students annuallY to supplement the two and a half fellowships received from the state.",1987,1987,15,1,1987 an-audacious-faith.pdf,AN AUDACIOUS FAITH,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors,#Black Students #Financial Aid And Financing
68,1987 an-audacious-faith.pdf,Page 1: 36-449,"The President should identify and allocate the resources necessary to enhance both merit-and scholarships for students. The Vice President for, Development, in conjunction with the Office of the President, should initiate a plan to convince both the and potential donors of the enormous promise of a matching minority-student scholarship, program in the Eminent Scholar model.",1987,1987,16,1,1987 an-audacious-faith.pdf,AN AUDACIOUS FAITH,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors,#Black Students #Current Iniatives And Working Groups #Financial Aid And Financing
