Alumni,APIDA Students,Black Students,Faculty/Staff,Latinx Students,Students,University Office,Code,Demographic,RowSum
0,0,0,0,0,0,0,Abolition/ Defunding,Alumni,0
0,0,0,0,0,0,0,Abolition/ Defunding,APIDA Students,0
0,0,4,1,0,4,0,Abolition/ Defunding,Black Students,9
0,0,1,1,0,1,0,Abolition/ Defunding,Faculty/Staff,3
0,0,0,0,0,0,0,Abolition/ Defunding,Latinx Students,0
0,0,4,1,0,7,0,Abolition/ Defunding,Students,12
0,0,0,0,0,0,0,Abolition/ Defunding,University Office,0
0,0,0,0,0,0,0,Community Labor or Partnership,Alumni,0
0,0,0,0,0,0,0,Community Labor or Partnership,APIDA Students,0
0,0,16,2,0,0,9,Community Labor or Partnership,Black Students,27
0,0,2,2,0,0,2,Community Labor or Partnership,Faculty/Staff,6
0,0,0,0,0,0,0,Community Labor or Partnership,Latinx Students,0
0,0,0,0,0,0,0,Community Labor or Partnership,Students,0
0,0,9,2,0,0,9,Community Labor or Partnership,University Office,20
2,0,2,2,2,0,2,Current Initiatives and Working Groups,Alumni,10
0,0,0,0,0,0,0,Current Initiatives and Working Groups,APIDA Students,0
2,0,23,2,3,0,20,Current Initiatives and Working Groups,Black Students,50
2,0,2,2,2,0,2,Current Initiatives and Working Groups,Faculty/Staff,10
2,0,3,2,3,0,3,Current Initiatives and Working Groups,Latinx Students,13
0,0,0,0,0,0,0,Current Initiatives and Working Groups,Students,0
2,0,20,2,3,0,20,Current Initiatives and Working Groups,University Office,47
0,0,0,0,0,0,0,Data Collection and Transparency,Alumni,0
0,0,0,0,0,0,0,Data Collection and Transparency,APIDA Students,0
0,0,5,0,1,0,5,Data Collection and Transparency,Black Students,11
0,0,0,0,0,0,0,Data Collection and Transparency,Faculty/Staff,0
0,0,1,0,1,0,1,Data Collection and Transparency,Latinx Students,3
0,0,0,0,0,0,0,Data Collection and Transparency,Students,0
0,0,5,0,1,0,32,Data Collection and Transparency,University Office,38
0,0,0,0,0,0,0,Diversity in Student Leadership,Alumni,0
0,3,3,0,3,3,3,Diversity in Student Leadership,APIDA Students,15
0,3,5,0,3,3,5,Diversity in Student Leadership,Black Students,19
0,0,0,0,0,0,0,Diversity in Student Leadership,Faculty/Staff,0
0,3,3,0,3,3,3,Diversity in Student Leadership,Latinx Students,15
0,3,3,0,3,3,3,Diversity in Student Leadership,Students,15
0,3,5,0,3,3,10,Diversity in Student Leadership,University Office,24
1,0,1,0,1,1,1,Financial Aid and Financing,Alumni,5
0,0,0,0,0,0,0,Financial Aid and Financing,APIDA Students,0
1,0,10,0,6,1,10,Financial Aid and Financing,Black Students,28
0,0,0,0,0,0,0,Financial Aid and Financing,Faculty/Staff,0
1,0,6,0,6,1,6,Financial Aid and Financing,Latinx Students,20
1,0,1,0,1,1,1,Financial Aid and Financing,Students,5
1,0,10,0,6,1,33,Financial Aid and Financing,University Office,51
0,0,0,0,0,0,0,Living Wage,Alumni,0
0,0,0,0,0,0,0,Living Wage,APIDA Students,0
0,0,3,0,0,3,1,Living Wage,Black Students,7
0,0,0,0,0,0,0,Living Wage,Faculty/Staff,0
0,0,0,0,0,0,0,Living Wage,Latinx Students,0
0,0,3,0,0,3,1,Living Wage,Students,7
0,0,1,0,0,1,1,Living Wage,University Office,3
1,1,1,1,1,1,1,Minority Faculty / Staff Recruitment and Retention,Alumni,7
1,3,3,3,3,3,3,Minority Faculty / Staff Recruitment and Retention,APIDA Students,19
1,3,17,3,3,5,17,Minority Faculty / Staff Recruitment and Retention,Black Students,49
